supu;ika;koulutus;siviilis;tyotilan;omistusa;oma_tulo;kotittul;saasto95;saasto94;asuntol;muulaina;yltyyt;taltyyt;ihmtyyt
1,00;52,00;3,00;1,00;0,00;1,00;4050,00;4963,00;56675,00;76034,00;81255,00;26671,00;3,00;4,00;3,00
2,00;44,00;3,00;1,00;1,00;1,00;3951,00;4307,00;38322,00;47839,00;178870,00;20765,00;2,00;2,00;2,00
1,00;20,00;2,00;2,00;0,00;1,00;3196,00;10183,00;9854,00;22076,00;340931,00;8183,00;1,00;2,00;1,00
2,00;32,00;3,00;2,00;0,00;1,00;3172,00;9714,00;10622,00;20000,00;35706,00;69426,00;2,00;3,00;2,00
1,00;51,00;5,00;1,00;1,00;1,00;7237,00;7669,00;59364,00;72678,00;389549,00;141729,00;2,00;2,00;2,00
1,00;22,00;1,00;2,00;0,00;1,00;1543,00;7071,00;4795,00;32500,00;370697,00;20286,00;4,00;4,00;4,00
2,00;43,00;3,00;2,00;0,00;1,00;2339,00;11234,00;32792,00;52345,00;231776,00;83109,00;4,00;3,00;4,00
2,00;26,00;4,00;1,00;0,00;1,00;6108,00;6783,00;18699,00;32000,00;234469,00;76540,00;4,00;4,00;4,00
1,00;53,00;3,00;2,00;1,00;1,00;4888,00;12174,00;46690,00;40000,00;310096,00;91569,00;2,00;1,00;1,00
1,00;51,00;5,00;2,00;0,00;1,00;3818,00;8786,00;21925,00;35000,00;334090,00;169651,00;4,00;4,00;3,00
2,00;59,00;3,00;4,00;0,00;1,00;3142,00;3390,00;71295,00;100000,00;302377,00;12511,00;4,00;4,00;3,00
2,00;36,00;2,00;2,00;1,00;1,00;3507,00;8020,00;11250,00;22000,00;292345,00;6020,00;2,00;2,00;2,00
2,00;43,00;4,00;2,00;0,00;1,00;3859,00;10138,00;32355,00;56300,00;253583,00;130219,00;3,00;3,00;4,00
2,00;47,00;4,00;1,00;0,00;0,00;3582,00;3851,00;46877,00;62045,00;0,00;29625,00;4,00;4,00;3,00
2,00;28,00;5,00;1,00;1,00;0,00;6298,00;7019,00;18499,00;32600,00;0,00;125486,00;3,00;4,00;3,00
1,00;55,00;3,00;3,00;1,00;0,00;6275,00;7267,00;26438,00;35700,00;0,00;47407,00;3,00;3,00;4,00
